CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE01
EVENTNBR = 607
STNNBR = 22
CASTNO = 12
CASTTYPE = upcast
BOTTOM_DATE = 20170117
BOTTOM_TIME = 0716
BOTTOM_LATITUDE = -46.9072066666667
BOTTOM_LONGITUDE = 141.930188333333
BOTTOM_DEPTH = 1002.165
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,4.0,2,3.953,11.1335,2,34.548,2,1026.4174,2,1493.36,2,238.039,1,268.93284,1,0.13125634683066528,2,0.17077631566255755,2,0.12141646850350313,2,0.1693242697047312,2,-6879.485144338276,9,73.527,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,5.0,2,4.953,11.1302,2,34.5547,2,1026.4277,2,1493.37,2,249.629,1,268.93866,1,0.13547690438779575,2,0.17077631566255755,2,0.12446237404213432,2,0.1693242697047312,2,-6879.485144357488,9,53.549,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,6.0,2,5.95,11.1282,2,34.5544,2,1026.4324,2,1493.38,2,249.482,1,268.95033,1,0.13836498935342598,2,0.17077631566255755,2,0.12379626592531975,2,0.1693242697047312,2,-6879.485144359158,9,45.971,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,7.0,2,6.945,11.1233,2,34.5548,2,1026.4381,2,1493.38,2,248.411,1,268.9774,1,0.13908315090395135,2,0.17077631566255755,2,0.12512365714885082,2,0.1693242697047312,2,-6879.485144365845,9,39.075,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,8.0,2,7.928,11.1257,2,34.5545,2,1026.442,2,1493.41,2,248.397,1,268.96427,1,0.13629812831101615,2,0.17077631566255755,2,0.12933556568901697,2,0.1693242697047312,2,-6879.485144362332,9,35.783,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,9.0,2,8.925,11.1203,2,34.5544,2,1026.4474,2,1493.4,2,249.121,1,268.99527,1,0.13880849386322863,2,0.17077631566255755,2,0.12799275663293366,2,0.1693242697047312,2,-6879.485144368466,9,33.337,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,10.0,2,9.916,11.12,2,34.5549,2,1026.4523,2,1493.42,2,249.798,1,268.99595,1,0.13566635148172462,2,0.17077631566255755,2,0.12780795280983748,2,0.1693242697047312,2,-6879.485144369964,9,30.536,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,11.0,2,10.904,11.1161,2,34.5548,2,1026.4574,2,1493.42,2,250.165,1,269.01808,1,0.13904089067326644,2,0.17077631566255755,2,0.1275616647554002,2,0.1693242697047312,2,-6879.485144374332,9,27.312,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,12.0,2,11.901,11.1156,2,34.5546,2,1026.4618,2,1493.44,2,250.261,1,269.02184,1,0.14077513570711417,2,0.17077631566255755,2,0.1347311263628152,2,0.1693242697047312,2,-6879.485144374465,9,25.517,2
RUB320161220,22,12,2017-01-17T07:16:03+00:00,-46.9072066666667,141.930188333333,13.0,2,12.892,11.1142,2,34.5547,2,1026.4667,2,1493.45,2,249.316,1,269.02927,1,0.14056346990779137,2,0.17077631566255755,2,0.1275851149948562,2,0.1693242697047312,2,-6879.485144376344,9,22.79,2
