CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE03
EVENTNBR = 3114
STNNBR = 103
CASTNO = 13
CASTTYPE = downcast
BOTTOM_DATE = 20170316
BOTTOM_TIME = 0550
BOTTOM_LATITUDE = -43.9897433333333
BOTTOM_LONGITUDE = 14.077215
BOTTOM_DEPTH = 1486.583
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,5.0,2,4.958,10.5592,2,34.3613,2,1026.3791,2,1491.13,2,255.335,1,272.59005,1,-999,9,-999,9,0.5429151815045649,2,0.48790396693542337,2,0.00249872825468842,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,6.0,2,5.959,10.5598,2,34.3614,2,1026.3837,2,1491.15,2,254.971,1,272.5868,1,-999,9,-999,9,0.504909731542667,2,0.4545576772674143,2,0.002356938377996228,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,7.0,2,6.934,10.5593,2,34.3615,2,1026.3883,2,1491.16,2,255.842,1,272.58926,1,-999,9,-999,9,0.5263697823053285,2,0.47339418046044024,2,0.0024374392137857244,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,8.0,2,7.938,10.5599,2,34.3616,2,1026.3928,2,1491.18,2,255.91,1,272.5859,1,-999,9,-999,9,0.4932017657925423,2,0.44427281233542126,2,0.002377459425719523,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,9.0,2,8.928,10.5585,2,34.3613,2,1026.3973,2,1491.19,2,255.917,1,272.59408,1,-999,9,-999,9,0.527724826751564,2,0.47458292697455673,2,0.002431516415869071,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,10.0,2,9.909,10.5604,2,34.3616,2,1026.4018,2,1491.22,2,255.12,1,272.58256,1,-999,9,-999,9,0.4846425372519586,2,0.4367501747977521,2,0.002481306513885779,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,11.0,2,10.914,10.5609,2,34.3618,2,1026.4063,2,1491.24,2,255.106,1,272.57912,1,-999,9,-999,9,0.49414585364539904,2,0.445102366569596,2,0.002403146353397064,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,12.0,2,11.912,10.5624,2,34.3622,2,1026.4109,2,1491.26,2,255.002,1,272.57004,1,-999,9,-999,9,0.5415932995006258,2,0.48674512160339056,2,0.0024257345654055086,3,1e-12,4
RUB320161220,103,13,2017-03-16T05:50:35+00:00,-43.9897433333333,14.077215,13.0,2,12.893,10.5609,2,34.3615,2,1026.4151,2,1491.27,2,255.513,1,272.58024,1,-999,9,-999,9,0.5579152642865761,2,0.5010491818200449,2,0.002557195165652231,3,157.94,4
