CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE01
EVENTNBR = 123
STNNBR = 8
CASTNO = 3
CASTTYPE = upcast
BOTTOM_DATE = 20161230
BOTTOM_TIME = 1342
BOTTOM_LATITUDE = -46.1790366666667
BOTTOM_LONGITUDE = 51.00266
BOTTOM_DEPTH = 398.314
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,3.0,2,2.961,5.8354,2,33.8056,2,1026.6432,2,1472.63,2,268.764,1,304.10373,1,0.07506992004250299,2,0.09225754356813423,2,0.053553480746107496,2,0.08128301153498042,2,-0.0009914477028577185,4,163.78,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,4.0,2,3.966,5.8352,2,33.8057,2,1026.6479,2,1472.64,2,287.947,1,304.10504,1,0.08646161628071582,2,0.09225754356813423,2,0.0516623663183161,2,0.08128301153498042,2,-0.0009914482744827846,4,123.19,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,5.0,2,4.959,5.8348,2,33.8061,2,1026.6529,2,1472.66,2,288.464,1,304.10712,1,0.08383111600668837,2,0.09225754356813423,2,0.07151317288586333,2,0.08128301153498042,2,-0.0009914498998907324,4,110.44,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,6.0,2,5.944,5.8349,2,33.8061,2,1026.6576,2,1472.68,2,287.741,1,304.10623,1,0.09132196490026841,2,0.09225754356813423,2,0.05774852088798303,2,0.08128301153498042,2,-0.0009914497346088344,4,99.884,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,7.0,2,6.948,5.8359,2,33.8057,2,1026.6618,2,1472.7,2,287.969,1,304.09978,1,0.09203655326916997,2,0.09225754356813423,2,0.0762909611122327,2,0.08128301153498042,2,-0.0009914471175641003,4,85.138,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,8.0,2,7.935,5.835,2,33.806,2,1026.6668,2,1472.71,2,287.919,1,304.10599,1,0.0913021271643159,2,0.09225754356813423,2,0.08122684469910817,2,0.08128301153498042,2,-0.0009914493282563832,4,75.051,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,9.0,2,8.925,5.8326,2,33.8062,2,1026.6718,2,1472.72,2,288.287,1,304.1225,1,0.09372707477797815,2,0.09225754356813423,2,0.08180304086681586,2,0.08128301153498042,2,-0.0009914537774196202,4,68.073,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,10.0,2,9.915,5.8318,2,33.8061,2,1026.6765,2,1472.73,2,288.168,1,304.12824,1,0.09524248630678081,2,0.09225754356813423,2,0.09592706862662308,2,0.08128301153498042,2,-0.00099145485880849,4,61.173,2
RUB320161220,8,3,2016-12-30T13:42:06+00:00,-46.1790366666667,51.00266,11.0,2,10.914,5.8298,2,33.8063,2,1026.6815,2,1472.74,2,289.083,1,304.14188,1,0.09916729267002898,2,0.09225754356813423,2,0.08883487345316114,2,0.08128301153498042,2,-0.000991458647413808,4,57.341,2
