CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE02
EVENTNBR = 1633
STNNBR = 68
CASTNO = 31
CASTTYPE = downcast
BOTTOM_DATE = 20170215
BOTTOM_TIME = 0312
BOTTOM_LATITUDE = -68.7403583333333
BOTTOM_LONGITUDE = -99.990295
BOTTOM_DEPTH = 401.531
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,4.0,2,3.958,1.5529,4,33.787,4,1027.0514,4,1454.59,4,307.841,4,337.51508,4,0.17369509840264818,2,0.1642446565922163,2,0.16252407204747515,2,0.15044060471263468,2,-6879.485158045447,9,2.7345,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,5.0,2,4.937,1.492,2,33.5232,2,1026.8472,2,1453.99,2,315.981,1,338.71984,1,0.17376064140581535,2,0.1643049860275703,2,0.16153952727219567,2,0.14955154154791375,2,-6879.485157509583,9,2.4773,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,6.0,2,5.946,1.4971,2,33.5231,2,1026.8518,2,1454.03,2,314.897,1,338.67663,1,0.1667904952084142,2,0.15788583907366818,2,0.15076659511979834,2,0.1398145052050722,2,-6879.485157498592,9,2.2973,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,7.0,2,6.937,1.5036,2,33.5101,2,1026.8461,2,1454.06,2,313.284,1,338.65433,1,0.16553176958025495,2,0.15672586565973426,2,0.1577116100616951,2,0.1460935871172259,2,-6879.485157452121,9,1.9672,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,8.0,2,7.917,1.5003,2,33.5024,2,1026.845,2,1454.05,2,312.558,1,338.70276,1,0.17118542330225875,2,0.16193415433486752,2,0.1738222577849015,2,0.1606338318490784,2,-6879.48515743964,9,1.7351,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,9.0,2,8.91,1.4955,2,33.501,2,1026.849,2,1454.04,2,312.783,1,338.74807,1,0.1739354408812561,2,0.16446587825636613,2,0.16485413577361788,2,0.15254417314021718,2,-6879.48515744621,9,1.5305,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,10.0,2,9.9,1.4906,2,33.5005,2,1026.8538,2,1454.04,2,312.796,1,338.79121,1,0.17247231118865589,2,0.16311902385601376,2,0.16811475048185448,2,0.15548661627122184,2,-6879.485157455263,9,1.4103,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,11.0,2,10.889,1.496,2,33.4914,2,1026.8512,2,1454.07,2,312.284,1,338.76872,1,0.17203591603550417,2,0.16271725045721672,2,0.17389901809593153,2,0.16070302824168733,2,-6879.485157420935,9,1.297,2
RUB320161220,68,31,2017-02-15T03:12:44+00:00,-68.7403583333333,-99.990295,12.0,2,11.881,1.5162,2,33.4469,2,1026.8195,2,1454.11,2,313.285,1,338.71088,1,0.16811586673171605,2,0.15910697833105625,2,0.16312691606035826,2,0.1509849193927209,2,-6879.48515726615,9,1.2667,2
