CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE02
EVENTNBR = 910
STNNBR = 23
CASTNO = 1
CASTTYPE = upcast
BOTTOM_DATE = 20170123
BOTTOM_TIME = 0651
BOTTOM_LATITUDE = -46.396905
BOTTOM_LONGITUDE = 150.404141666667
BOTTOM_DEPTH = 990.372
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,1.0,2,0.991,12.7318,4,16.6765,4,1012.2932,4,1477.65,4,240.287,4,295.04155,4,0.04638051229736523,4,0.04542344874631591,4,0.002425461587119256,4,0.312791213563201,4,-6879.485097291329,9,151.47,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,2.0,2,1.986,12.6765,2,34.8158,3,1026.3236,3,1498.93,3,249.293,1,259.95092,1,0.06898244885051152,4,0.06684995845805626,4,0.29497849490236566,2,0.312791213563201,2,-6879.485143228054,9,153.51,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,3.0,2,2.972,12.6747,2,34.816,2,1026.3286,2,1498.94,2,250.357,1,259.96026,1,0.0710412044954033,4,0.06879128329834527,4,0.3128325578646725,2,0.312791213563201,2,-6879.485143230398,9,129.34,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,4.0,2,3.96,12.6719,2,34.816,2,1026.3336,2,1498.94,2,248.915,1,259.975,1,0.06980104947178348,4,0.06762204823864985,4,0.3320141290464156,2,0.312791213563201,2,-6879.48514323334,9,116.02,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,5.0,2,4.949,12.6728,2,34.8165,2,1026.338,2,1498.96,2,249.172,1,259.96947,1,0.06964864206709503,4,0.06747831855763234,4,0.33643564301867535,2,0.312791213563201,2,-6879.485143233522,9,81.014,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,6.0,2,5.949,12.6686,2,34.8136,2,1026.3431,2,1498.97,2,250.609,1,259.99693,1,0.06515660496932428,4,0.06323821080124827,4,0.32310651322602785,2,0.312791213563201,2,-6879.485143231395,9,53.156,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,7.0,2,6.937,12.5735,2,34.8154,2,1026.367,2,1498.67,2,251.012,1,260.50184,1,0.07172946357853512,4,0.0694399486934313,4,0.36118268352674,2,0.312791213563201,2,-6879.485143335824,9,46.554,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,8.0,2,7.927,12.559,2,34.8129,2,1026.373,2,1498.63,2,250.193,1,260.58333,1,0.07106030934450842,4,0.06880929134345343,4,0.34859169242382254,2,0.312791213563201,2,-6879.485143345551,9,39.883,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,9.0,2,8.923,12.5169,2,34.8141,2,1026.3863,2,1498.51,2,250.499,1,260.80673,1,0.07098389457379696,4,0.06873726275087266,4,0.3625194891911221,2,0.312791213563201,2,-6879.485143392983,9,34.248,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,10.0,2,9.916,12.4949,2,34.8138,2,1026.3945,2,1498.45,2,250.21,1,260.92517,1,0.06877327261562718,4,0.06665262814336652,4,0.38141961421562165,2,0.312791213563201,2,-6879.485143415736,9,29.711,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,11.0,2,10.91,12.4751,2,34.814,2,1026.4026,2,1498.4,2,250.46,1,261.03091,1,0.07634290249812867,4,0.07378379620269065,4,0.38581631596053634,2,0.3496397787310595,2,-6879.4851434373095,9,25.924,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,12.0,2,11.901,12.451,2,34.8152,2,1026.4123,2,1498.33,2,249.954,1,261.15853,1,0.07071654011999944,4,0.06848523810529966,4,0.42223284058054616,2,0.38179627911171915,2,-6879.485143465773,9,26.245,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,13.0,2,12.886,12.4574,2,34.8145,2,1026.4152,2,1498.37,2,251.17,1,261.12526,1,0.07199738824184913,4,0.06969241555829812,4,0.38373610626231636,2,0.34780072857905175,2,-6879.4851434573475,9,24.646,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,14.0,2,13.888,12.4498,2,34.8142,2,1026.4208,2,1498.36,2,250.288,1,261.16663,1,0.0691917202986501,4,0.06704736268066551,4,0.3966277558585492,2,0.359193958295446,2,-6879.485143464797,9,21.402,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,15.0,2,14.87,12.4396,2,34.8149,2,1026.4277,2,1498.34,2,250.364,1,261.21977,1,0.06997256750005452,4,0.06778379045486635,4,0.41094202478778974,2,0.3718338295060889,2,-6879.485143477294,9,23.979,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,16.0,2,15.861,12.412,2,34.8144,2,1026.4373,2,1498.27,2,250.334,1,261.36937,1,0.0691917202986501,4,0.06704736268066551,4,0.42539814635527473,2,0.38458800633001206,2,-6879.4851435057435,9,19.399,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,17.0,2,16.855,12.4092,2,34.8147,2,1026.4426,2,1498.28,2,250.255,1,261.38429,1,0.06744439526188797,4,0.06539863215348773,4,0.42091934946185916,2,0.3806376595624122,2,-6879.485143509426,9,18.972,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,18.0,2,17.849,12.3899,2,34.8147,2,1026.451,2,1498.23,2,250.709,1,261.48777,1,0.07056383417379682,4,0.06834127679181394,4,0.42902377783196405,2,0.3877851046628981,2,-6879.4851435301525,9,17.144,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,19.0,2,18.843,12.3704,2,34.8154,2,1026.4597,2,1498.18,2,250.348,1,261.59197,1,0.06765296080697016,4,0.06559548828717401,4,0.42350638361200316,2,0.38291957639451135,2,-6879.485143552707,9,16.617,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,20.0,2,19.834,12.3616,2,34.8157,2,1026.466,2,1498.16,2,250.473,1,261.6387,1,0.07259118210034926,4,0.07025186188282044,4,0.4056132613521496,2,0.3671296749553515,2,-6879.485143562861,9,15.138,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,21.0,2,20.821,12.3623,2,34.8156,2,1026.4704,2,1498.18,2,250.12,1,261.63506,1,0.07203567542165928,4,0.06972849173449967,4,0.42391743432071716,2,0.38328211586019806,2,-6879.48514356188,9,13.631,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,22.0,2,21.814,12.3609,2,34.8152,2,1026.4748,2,1498.19,2,249.783,1,261.64344,1,0.07287876392625235,4,0.07052276499138961,4,0.4053290702251838,2,0.3668787527840862,2,-6879.485143562485,9,12.41,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,23.0,2,22.807,12.3584,2,34.8157,2,1026.4803,2,1498.2,2,249.766,1,261.65579,1,0.07094569181560233,4,0.0687012520436031,4,0.42223284058054616,2,0.38179627911171915,2,-6879.485143566308,9,12.534,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,24.0,2,23.793,12.3631,2,34.8147,2,1026.4835,2,1498.23,2,250.18,1,261.63241,1,0.07351204298516567,4,0.07111921612998764,4,0.4117165236170888,2,0.37251742080459627,2,-6879.485143558985,9,11.397,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,25.0,2,24.789,12.3612,2,34.8144,2,1026.4881,2,1498.24,2,249.989,1,261.64299,1,0.07578316625528272,4,0.073257149232461,4,0.41004575007579575,2,0.37104271644414333,2,-6879.485143560353,9,10.164,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,26.0,2,25.788,12.3526,2,34.8145,2,1026.4942,2,1498.23,2,250.011,1,261.68934,1,0.07046841812394752,4,0.06825132049413506,4,0.4011538973355804,2,0.363191849376037,2,-6879.485143569846,9,9.2105,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,27.0,2,26.784,12.3332,2,34.8153,2,1026.5028,2,1498.18,2,250.235,1,261.79255,1,0.07161468464022269,4,0.06933178421355968,4,0.4351823388453679,2,0.3932142364380641,2,-6879.485143592581,9,8.4242,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,28.0,2,27.763,12.3309,2,34.8161,2,1026.5083,2,1498.19,2,250.267,1,261.80349,1,0.07247619717924965,4,0.07014353769960471,4,0.4569514084097782,2,0.4123900270121295,2,-6879.485143596872,9,9.0468,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,29.0,2,28.749,12.339,2,34.814,2,1026.5106,2,1498.24,2,251.472,1,261.76332,1,0.0731473273514592,4,0.07077572704262003,4,0.4636835063666662,2,0.41831556712139867,2,-6879.485143583382,9,7.7987,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,30.0,2,29.751,12.3106,2,34.815,2,1026.5209,2,1498.16,2,251.755,1,261.91487,1,0.07305139482949413,4,0.07068537026680485,4,0.4464048412802117,2,0.4031027036994567,2,-6879.485143616321,9,7.1555,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,31.0,2,30.751,12.2828,2,34.8161,2,1026.5312,2,1498.08,2,251.204,1,262.06338,1,0.07335844533759626,4,0.07097456343980328,4,0.47463960785678366,2,0.42795454622014667,2,-6879.4851436489025,9,6.6911,2
RUB320161220,23,1,2017-01-23T06:51:44+00:00,-46.396905,150.404141666667,32.0,2,31.735,12.2701,2,34.8162,2,1026.5382,2,1498.05,2,249.622,1,262.13196,1,0.07262951648325872,4,0.07028797465386048,4,0.5237062724358366,2,0.4710573311239271,2,-6879.485143662899,9,6.4509,2
