CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE03
EVENTNBR = 2576
STNNBR = 88
CASTNO = 4
CASTTYPE = downcast
BOTTOM_DATE = 20170306
BOTTOM_TIME = 1005
BOTTOM_LATITUDE = -56.9947116666667
BOTTOM_LONGITUDE = -27.9497633333333
BOTTOM_DEPTH = 100.056
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,6.0,4,5.933,1.8147,4,33.7855,4,1027.041,4,1455.79,4,311.114,4,335.29152,4,-999,9,-999,9,0.40326022968061775,4,0.7753671298269614,4,0.00268030442315075,4,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,7.0,2,6.95,1.8123,2,33.7859,2,1027.0462,2,1455.79,2,310.316,1,335.31107,1,-999,9,-999,9,0.476465534544073,2,0.7753671298269614,2,0.0027878635542799004,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,8.0,2,7.938,1.8127,2,33.7859,2,1027.0509,2,1455.81,2,310.121,1,335.30734,1,-999,9,-999,9,0.7737254794917169,2,0.7753671298269614,2,0.0030389414750216634,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,9.0,2,8.911,1.811,2,33.7863,2,1027.056,2,1455.82,2,311.036,1,335.32067,1,-999,9,-999,9,0.5883025999625916,2,0.7753671298269614,2,0.003207377579694569,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,10.0,2,9.903,1.8092,2,33.7867,2,1027.0611,2,1455.82,2,311.616,1,335.33509,1,-999,9,-999,9,0.653383800131413,2,0.7753671298269614,2,0.0032315440018605697,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,11.0,2,10.903,1.8101,2,33.7865,2,1027.0657,2,1455.85,2,310.707,1,335.32801,1,-999,9,-999,9,0.6862580614893873,2,0.7753671298269614,2,0.0035228398694907154,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,12.0,2,11.888,1.8105,2,33.7862,2,1027.0701,2,1455.86,2,311.082,1,335.32528,1,-999,9,-999,9,0.7061136620588917,2,0.7753671298269614,2,0.003634469527400816,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,13.0,2,12.871,1.8067,2,33.7872,2,1027.0758,2,1455.86,2,310.603,1,335.35465,1,-999,9,-999,9,0.7283293708935115,2,0.7753671298269614,2,0.00332512333976362,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,14.0,2,13.866,1.8076,2,33.787,2,1027.0804,2,1455.88,2,310.576,1,335.34765,1,-999,9,-999,9,0.5728060642710094,2,0.7753671298269614,2,0.003433723782472687,3,-999,9
RUB320161220,88,4,2017-03-06T10:05:04+00:00,-56.9947116666667,-27.9497633333333,15.0,2,14.864,1.8072,2,33.787,2,1027.0851,2,1455.9,2,310.321,1,335.35135,1,-999,9,-999,9,0.7367220480603855,2,0.7753671298269614,2,0.0034994189319375365,3,-999,9
