CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE02
EVENTNBR = 1901
STNNBR = 73
CASTNO = 35
CASTTYPE = downcast
BOTTOM_DATE = 20170219
BOTTOM_TIME = 0128
BOTTOM_LATITUDE = -59.59515
BOTTOM_LONGITUDE = -67.91813
BOTTOM_DEPTH = 1002.038
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,3.0,4,2.962,5.0593,4,33.8748,4,1026.7904,4,1469.59,4,230.494,4,309.54001,4,0.09072711453610802,4,0.08728446610466746,4,0.08955838346131104,4,0.08412018410415852,4,-6879.485151545632,9,0.12516,4
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,4.0,2,3.967,5.0751,4,33.7644,4,1026.7053,4,1469.53,4,277.397,4,309.68119,4,0.10033324068584196,2,0.09626824656672552,2,0.08575032554433826,2,0.08062922567765803,2,-6879.485151250342,9,0.17034,2
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,5.0,2,4.949,5.0666,2,33.7533,2,1026.7022,2,1469.5,2,289.737,1,309.76756,1,0.09654144070521478,2,0.09272496240977375,2,0.08091725925851535,2,0.0761931099027464,2,-6879.485151238072,9,0.12099,2
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,6.0,2,5.944,5.0414,2,33.7573,2,1026.7124,2,1469.41,2,286.78,1,309.94352,1,0.09572179267081066,2,0.09195855296973968,2,0.08485266194970967,2,0.07980576339769618,2,-6879.485151291384,9,0.088285,2
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,7.0,2,6.944,5.0408,2,33.7562,2,1026.7163,2,1469.43,2,286.467,1,309.95086,1,0.09714184588033312,2,0.09328625966020318,2,0.09809254634068974,2,0.09193071231571479,2,-6879.48515128975,9,0.059625,2
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,8.0,2,7.921,5.0435,2,33.7546,2,1026.7196,2,1469.45,2,286.548,1,309.93458,1,0.09852488884888527,2,0.09457886706484032,2,0.08112103222694143,2,0.07638027512580631,2,-6879.485151281188,9,0.045648,2
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,9.0,2,8.909,5.0398,2,33.7544,2,1026.7246,2,1469.45,2,286.527,1,309.96215,1,0.09558195769867395,2,0.091827783321554,2,0.08330442311660445,2,0.07838499938760493,2,-6879.485151287108,9,0.035056,2
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,10.0,2,9.91,5.0405,2,33.7539,2,1026.7288,2,1469.47,2,286.542,1,309.95783,1,0.09446438535381621,2,0.0907824784231857,2,0.07645078157622744,2,0.07208769861029524,2,-6879.485151284682,9,0.032648,2
RUB320161220,73,35,2017-02-19T01:28:57+00:00,-59.59515,-67.91813,11.0,2,10.9,5.0453,2,33.7533,2,1026.7326,2,1469.51,2,286.811,1,309.92403,1,0.09314979010679077,2,0.08955246996968794,2,0.07727674617611545,2,0.07284732630513803,2,-6879.485151274915,9,0.025758,2
